"OBJECTID","WELLWIDTH","WELLLENGTH","PAREAWIDTH","LOWWELL","SPECIES","ADDRNUM","STNAME"
19724,"0","0","5","None","Magnolia grandiflora",8047,"SHAY DR"
19725,"3","8","0","Low","Liquidambar styraciflua",3038,"MIDDLETON ST"
19726,"0","0","6","None","Maytenus boaria",8050,"HANSOM DR"
19727,"0","0","2.5","None","Pistacia chinensis",3075,"BROOKFIELD AV"
19728,"0","0","4","None","Platanus acerifolia",2990,"106TH AV"
19729,"0","0","5","None","Maytenus boaria",7840,"HANSOM DR"
19730,"0","0","03","None","Prunus cerasifera/blireiana",4117,"FONTAINE CT"
19731,"0","0","2.5","None","Cupressus sempervirens",3333,"REVERE AV"
19732,"0","0","6","None","Platanus acerifolia",3016,"REVERE AV"
19733,"0","0","2.5","None","Platanus acerifolia",3167,"REVERE AV"
19734,"0","0","6","None","Platanus acerifolia",3058,"REVERE AV"
19735,"5","8","0","None","Liquidambar styraciflua",8190,"SURREY LN"
19736,"2","2","0","Low","Pyrus kawakami",4128,"DICKSON CT"
19737,"0","0","6","None","Cupressus sempervirens",8020,"HANSOM DR"
19738,"2","2","0","Low","Tristaniopsis laurina",4855,"SCOTIA AV"
19739,"0","0","2.5","None","Lagerstroemia indica",10826,"GOLF LINKS RD"
19740,"0","0","3","None","Koelreuteria sp",4129,"KENTWOOD CT"
19741,"0","0","3","None","Pistacia chinensis",20,"DANBURY ST"
19742,"0","0","4","None","Liquidambar styraciflua",130,"MARLOW DR"
19743,"0","0","2.5","None","Lagerstroemia indica",3120,"ROXBURY AV"
19744,"0","0","5","None","Maytenus boaria",7806,"HANSOM DR"
19745,"0","0","5","None","Liquidambar styraciflua",7851,"SURREY LN"
19746,"0","0","4","None","Liquidambar styraciflua",319,"MARLOW DR"
19747,"4","6","0","Low","Liquidambar styraciflua",3120,"REVERE AV"
19748,"2","2","0","Low","Pistacia chinensis",3045,"ROXBURY AV"
19749,"0","0","3","None","Lagerstroemia indica",3021,"ROXBURY AV"
19750,"0","0","3","None","Liquidambar styraciflua",3177,"MIDDLETON ST"
19751,"0","0","3","None","Shrub",3992,"TURNLEY AV"
19752,"0","0","4","None","Cinnamomum camphora",9772,"ANZA AV"
19753,"2","2","0","Low","Pistacia chinensis",286,"COVINGTON ST"
19754,"0","0","3","None","Crataegus sp",268,"COVINGTON ST"
19755,"0","0","6","None","Liquidambar styraciflua",218,"MARLOW DR"
19756,"0","0","5","None","Pinus radiata",8193,"HANSOM DR"
19757,"0","0","5","None","Liquidambar styraciflua",7821,"HANSOM DR"
19758,"0","0","3","None","Juniperus sp",10611,"SHELDON ST"
19759,"0","0","6","None","Platanus acerifolia",3059,"REVERE AV"
19760,"0","0","4","None","Liquidambar styraciflua",9751,"BURGOS AV"
19761,"0","0","5","None","Maytenus boaria",8180,"PHAETON DR"
19762,"0","0","4","None","Pistacia chinensis",323,"MARLOW DR"
19763,"0","0","6","None","Platanus acerifolia",3039,"REVERE AV"
19764,"0","0","5","None","Maytenus boaria",7776,"HANSOM DR"
19765,"2","4","0","Low","Lagerstroemia indica",4102,"SEACOR CT"
19766,"2","4","0","Low","Lagerstroemia indica",4102,"SEACOR CT"
19767,"0","0","0","None","Liquidambar styraciflua",10706,"MARK ST"
19768,"2.5","5","0","Low","Pistacia chinensis",3001,"BROOKFIELD AV"
19769,"0","0","6","None","Liquidambar styraciflua",240,"MARLOW DR"
19770,"0","0","5","None","Magnolia grandiflora",7901,"SHAY DR"
19771,"0","0","4","None","Liquidambar styraciflua",3687,"DORISA AV"
19772,"0","0","2.5","None","Lagerstroemia indica",345,"MARLOW DR"
19773,"1","3","0","Low","Crataegus sp",7700,"MOUNTAIN BL"
19774,"0","0","3","None","Crataegus sp",101,"COVINGTON ST"
19775,"3","4","0","None","Quercus ilex",8188,"COACH DR"
19776,"0","0","4","None","Crataegus sp",3079,"REVERE AV"
19777,"0","0","5","None","Stump",8199,"HANSOM DR"
19778,"0","0","2.5","None","Pistacia chinensis",332,"COVINGTON ST"
19779,"0","0","3","None","Prunus cerasifera/blireiana",4125,"KELLER AV"
19780,"3","10","0","Moderate","Liquidambar styraciflua",3001,"BROOKFIELD AV"
19781,"0","0","4","None","Pistacia chinensis",100,"COVINGTON ST"
19782,"0","0","5","None","Maytenus boaria",7942,"PHAETON DR"
19783,"0","0","5","None","Lagerstroemia indica",7942,"PHAETON DR"
19784,"0","0","06","None","Platanus acerifolia",2,"DANBURY ST"
19785,"0","0","3","None","Platanus acerifolia",2975,"107TH AV"
19786,"0","0","5","None","Cedrus sp",7817,"HANSOM DR"
19787,"4","8","0","Low","Liquidambar styraciflua",206,"MARLOW DR"
19788,"3","3","0","None","Crataegus phaenopyrum",7966,"HANSOM DR"
19789,"2","2","0","None","Prunus cerasifera/blireiana",7966,"HANSOM DR"
19790,"0","0","3","None","Citrus sp",3051,"ROXBURY AV"
19791,"0","0","3","None","Platanus acerifolia",2925,"REVERE AV"
19792,"0","0","4","None","Unknown",9470,"MOUNTAIN BL"
19793,"2","1","0","Low","Prunus cerasifera/blireiana",7630,"MOUNTAIN BL"
19794,"0","0","6","None","Juniperus sp",8070,"HANSOM DR"
19795,"0","0","6","None","Juniperus sp",8070,"HANSOM DR"
19796,"0","0","2","None","Lagerstroemia indica",4934,"SCOTIA AV"
19797,"0","0","6","None","Platanus acerifolia",3067,"REVERE AV"
19798,"4","7","0","Low","Liquidambar styraciflua",100,"COVINGTON ST"
19799,"0","0","5","None","Liquidambar styraciflua",7911,"SURREY LN"
19800,"3","12","0","Moderate","Liquidambar styraciflua",30,"MARLOW DR"
19801,"3","5","0","High","Pyrus calleryana cvs",6125,"MERCED AV"
19802,"0","0","4","None","Eucalyptus sp",4900,"PROCTOR AV"
19803,"3","5","0","Moderate","Hoheria populnea",6160,"ACACIA AV"
19804,"0","0","2.5","None","Crataegus sp",2904,"JOAQUIN MILLER RD"
19805,"0","0","2","None","Other",226,"MODOC AV"
19806,"0","0","0","None","Ceratonia siliqua",4731,"PROCTOR AV"
19807,"0","0","7","None","Quercus ilex",4276,"FRUITVALE AV"
19808,"0","0","4","None","Unknown",5010,"PROCTOR AV"
19809,"0","0","4","None","Unknown",4928,"PROCTOR AV"
19810,"0","0","3","None","Liquidambar styraciflua",5201,"COCHRANE AV"
19811,"4","3","0","Low","Pistacia chinensis",2110,"MOUNTAIN BL"
19812,"0","0","4","None","Sapium sebiferum",5912,"CONTRA COSTA RD"
19813,"3","3","0","Moderate","Malus sp",6315,"ACACIA AV"
19814,"0","0","3","None","Other",5039,"COCHRANE AV"
19815,"2","2","0","Low","Other",5220,"COCHRANE AV"
19816,"0","0","2.5","None","Platanus acerifolia",665,"ALVARADO RD"
19817,"2","2","0","None","Pyrus calleryana cvs",1991,"MOUNTAIN BL"
19818,"0","0","3","None","Sequoia sempervirens",1863,"CLEMENS RD"
19819,"2.5","3","0","Moderate","Pistacia chinensis",6520,"MORAGA AV"
19820,"0","0","2.5","None","Platanus acerifolia",95,"ALVARADO RD"
19821,"4","4","0","Low","Pistacia chinensis",4750,"PROCTOR AV"
19822,"0","0","3","None","Other",5051,"COCHRANE AV"
19823,"0","0","4","None","Unknown",4921,"PROCTOR AV"
19824,"0","0","14","None","Pistacia chinensis",5499,"GOLDEN GATE AV"
19825,"4","3","0","High","Pistacia chinensis",4824,"PROCTOR AV"
19826,"0","0","4","None","Aesculus carnea",4816,"PROCTOR AV"
19827,"2.5","3","0","Low","Lagerstroemia indica",6110,"LA SALLE AV"
19828,"2","2","0","Low","Acer palmatum",4938,"COCHRANE AV"
19829,"0","0","2","None","Aesculus carnea",4809,"PROCTOR AV"
19830,"0","0","12","None","Liquidambar styraciflua",5609,"GOLDEN GATE AV"
19831,"3","4","0","Low","Lagerstroemia indica",6450,"MORAGA AV"
19832,"0","0","3","None","Pistacia chinensis",5246,"PROCTOR AV"
19833,"2","3","0","Low","Maytenus boaria",2070,"MOUNTAIN BL"
19834,"0","0","7","None","Pyrus kawakami",4147,"FRUITVALE AV"
19835,"3","5","0","None","Magnolia grandiflora",1434,"LEIMERT BL"
19836,"0","0","2.5","None","Platanus acerifolia",103,"ALVARADO RD"
19837,"0","0","7","None","Ginkgo biloba",4170,"FRUITVALE AV"
19838,"0","0","4","None","Prunus serrulata",6122,"MARGARIDO DR"
19839,"0","0","20","None","Other",108,"HERMOSA AV"
19840,"0","0","4","None","Ginkgo biloba",4217,"FRUITVALE AV"
19841,"0","0","4","None","Ginkgo biloba",4217,"FRUITVALE AV"
19842,"3","3","0","Low","Prunus cerasifera/blireiana",33,"SHERIDAN RD"
19843,"0","0","2.5","None","Prunus serrulata",1971,"HOOVER AV"
19844,"3","3","0","Moderate","Other",6550,"MORAGA AV"
19845,"0","0","6","None","Ulmus americana",5936,"BROADWAY"
19846,"0","0","2.5","None","Platanus acerifolia",657,"ALVARADO RD"
19847,"0","0","4","None","Olea europaea",17,"CONTRA COSTA PL"
19848,"0","0","3","None","Pyrus calleryana cvs",5210,"PROCTOR AV"
19849,"2","6","0","Low","Betula pendula",1938,"CLEMENS RD"
19850,"0","0","5","None","Platanus acerifolia",6121,"MARGARIDO DR"
19851,"0","0","5","None","Acacia melanoxylon",6121,"MARGARIDO DR"
19852,"0","0","5","None","Acacia melanoxylon",6121,"MARGARIDO DR"
19853,"0","0","2.5","None","Platanus acerifolia",688,"ALVARADO RD"
19854,"0","0","3","None","Other",2039,"CLEMENS RD"
19855,"0","0","3","None","Cercis sp",4162,"LYMAN RD"
19856,"2","2","0","Low","Acer palmatum",0,"COCHRANE AV"
19857,"2","2","0","Low","Acer palmatum",0,"COCHRANE AV"
19858,"0","0","3","None","Unknown",4974,"PROCTOR AV"
19859,"0","0","4","None","Unknown",4974,"PROCTOR AV"
19860,"0","0","2","None","Other",35,"AGNES ST"
19861,"0","0","4","None","Unknown",4914,"PROCTOR AV"
19862,"0","0","6","None","Acer rubrum",4192,"FRUITVALE AV"
19863,"0","0","6","None","Acer rubrum",4192,"FRUITVALE AV"
19864,"0","0","2.5","None","Crataegus sp",5021,"PIERPOINT AV"
19865,"0","0","4","None","Crataegus phaenopyrum",0,"CONTRA COSTA RD"
19866,"0","0","4","None","Crataegus phaenopyrum",0,"CONTRA COSTA RD"
19867,"0","0","3","None","Myoporum laetum",75,"SHERIDAN RD"
19868,"0","0","4","None","Aesculus carnea",4808,"PROCTOR AV"
19869,"0","0","8","None","Other",4125,"FRUITVALE AV"
19870,"0","0","8","None","Ginkgo biloba",4125,"FRUITVALE AV"
19871,"2","2","0","Low","Cornus sp",4825,"PROCTOR AV"
19872,"2","3","0","Moderate","Lagerstroemia indica",6140,"MEDAU PL"
19873,"0","0","4","None","Unknown",5000,"PROCTOR AV"
19874,"0","0","4","None","Lagerstroemia indica",5874,"BUENA VISTA AV"
19875,"0","0","3","None","Podocarpus gracilior",5827,"MORPETH ST"
19876,"0","0","3","None","Pyrus calleryana cvs",5224,"PROCTOR AV"
19877,"0","0","7","None","Other",4165,"FRUITVALE AV"
19878,"2","4","0","Low","Pyrus calleryana cvs",53,"ELROD AV"
19879,"0","0","7","None","Liquidambar styraciflua",4275,"FRUITVALE AV"
19880,"2","3","0","Low","Washingtonia robusta",2,"AGNES ST"
19881,"0","0","4","None","Crataegus sp",225,"MODOC AV"
19882,"0","0","10","None","Ulmus parvifolia",6000,"ROCKRIDGE BL"
19883,"2.5","2.5","0","Low","Crataegus sp",5040,"PIERPOINT AV"
19884,"0","0","2.5","None","Unknown",61,"ALVARADO RD"
19885,"0","0","2","None","Acer palmatum",5200,"COCHRANE AV"
19886,"2","2","0","Low","Washingtonia robusta",5200,"COCHRANE AV"
19887,"0","0","4","None","Ginkgo biloba",5932,"CONTRA COSTA RD"
19888,"0","0","6","None","Ulmus parvifolia",5916,"OCEAN VIEW DR"
19889,"0","0","3","None","Cinnamomum camphora",5016,"COCHRANE AV"
19890,"0","0","3","None","Araucaria sp",5023,"COCHRANE AV"
19891,"2","2","0","None","Other",626,"FLORENCE AV"
19892,"2","5","0","Low","Other",1667,"MOUNTAIN BL"
19893,"0","0","2.5","None","Pistacia chinensis",5077,"DUBLIN AV"
19894,"0","0","4","None","Prunus serrulata",4841,"PROCTOR AV"
19895,"0","0","5","None","Acacia melanoxylon",6171,"MARGARIDO DR"
19896,"0","0","4","None","Pyrus kawakami",5229,"COCHRANE AV"
19897,"0","0","7","None","Other",4283,"FRUITVALE AV"
19898,"3","5","0","None","Magnolia grandiflora",1430,"LEIMERT BL"
19899,"3","7","0","Moderate","Platanus acerifolia",2162,"MOUNTAIN BL"
19900,"0","0","3","None","Acer sp",5807,"MORPETH ST"
19901,"0","0","3","None","Palm sp",140,"HERMOSA AV"
19902,"2","3","0","High","Maytenus boaria",6211,"LA SALLE AV"
19903,"3","4","0","None","Fraxinus o. `Raywood'",6121,"OCEAN VIEW DR"
19904,"0","0","30","None","Washingtonia robusta",5985,"MARGARIDO DR"
19905,"0","0","20","None","Shrub",5985,"MARGARIDO DR"
19906,"0","0","20","None","Shrub",5985,"MARGARIDO DR"
19907,"0","0","20","None","Quercus agrifolia",6067,"MARGARIDO DR"
19908,"0","0","20","None","Prunus serrulata",1,"ROCKRIDGE PL"
19909,"0","0","8","None","Liquidambar styraciflua",5945,"OCEAN VIEW DR"
19910,"0","0","10","None","Ulmus parvifolia",5850,"BROADWAY"
19911,"0","0","8","None","Unknown",6058,"ROCKRIDGE BL"
19912,"3","3","0","None","Celtis sp",6070,"OCEAN VIEW DR"
19913,"3","3","0","Low","Celtis sp",6122,"OCEAN VIEW DR"
19914,"0","0","8","None","Other",6116,"ROCKRIDGE BL NORTH"
19915,"0","0","20","None","Magnolia grandiflora",6017,"MARGARIDO DR"
19916,"0","0","2","None","Ligustrum lucidum",147,"ALPINE TR"
19917,"0","0","0","None","Ligustrum lucidum",147,"ALPINE TR"
19918,"0","0","3","None","Unknown",6040,"LAWTON AV"
19919,"3","3","0","Moderate","Jacaranda acutifolia",6080,"OCEAN VIEW DR"
19920,"0","0","8","None","Liquidambar styraciflua",6070,"ROCKRIDGE BL"
19921,"0","0","8","None","Acer sp",6110,"ROCKRIDGE BL NORTH"
19922,"0","0","3","None","Dead",5824,"MENDOCINO AV"
19923,"0","0","10","None","Prunus sp",6001,"MARGARIDO DR"
19924,"0","0","30","None","Cordyline australis",6001,"MARGARIDO DR"
19925,"0","0","8","None","Liquidambar styraciflua",6098,"ROCKRIDGE BL NORTH"
19926,"0","0","3","None","Celtis sp",5924,"OCEAN VIEW DR"
19927,"0","0","3","None","Unknown",5830,"MENDOCINO AV"
19928,"0","0","3","None","Shrub",5946,"OCEAN VIEW DR"
19929,"0","0","4","None","Pyrus kawakami",5903,"MARGARIDO DR"
19930,"0","0","3","None","Platanus acerifolia",6024,"LAWTON AV"
19931,"0","0","3","None","Platanus acerifolia",6024,"LAWTON AV"
19932,"3","3","0","None","Pyrus kawakami",6050,"OCEAN VIEW DR"
19933,"0","0","10","None","Celtis sp",6024,"ROCKRIDGE BL"
19934,"0","0","2","None","Pyrus calleryana cvs",171,"ALPINE TR"
19935,"0","0","2","None","Pyrus calleryana cvs",171,"ALPINE TR"
19936,"2","2","0","None","Celtis sp",6075,"MANCHESTER DR"
19937,"0","0","8","None","Quercus agrifolia",0,"None"
19938,"0","0","6","None","Ligustrum japonicum",0,"None"
19939,"0","0","5","None","Eucalyptus nicholii",5933,"OCEAN VIEW DR"
19940,"0","0","8","None","Liquidambar styraciflua",6861,"ESTATES DR"
19941,"0","0","3.5","None","Prunus serrulata",0,"None"
19942,"0","0","15","None","Quercus agrifolia",0,"None"
19943,"1.5","2.5","0","None","Lagerstroemia indica",0,"None"
19944,"2","2","0","Moderate","Betula sp",0,"None"
19945,"0","0","20","None","Quercus agrifolia",0,"None"
19946,"2","2","0","None","Callistemon sp",0,"None"
19947,"0","0","3","None","Pyrus calleryana cvs",0,"None"
19948,"0","0","0","None","Dodonaea sp",0,"None"
19949,"0","0","5","None","Schinus terebinthefolia",0,"None"
19950,"0","0","5","None","Washingtonia filifera",0,"None"
19951,"3","3","0","Moderate","Lagerstroemia indica",0,"None"
19952,"0","0","5","None","Schinus terebinthefolia",0,"None"
19953,"0","0","0","Moderate","Pyrus calleryana cvs",0,"None"
19954,"1","16","0","Moderate","Betula sp",0,"None"
19955,"0","0","15","None","Prunus sp",0,"None"
19956,"0","0","0","None","Pyrus calleryana cvs",0,"None"
19957,"0","0","5","None","Unknown",0,"None"
19958,"0","0","1.5","None","Pyrus calleryana cvs",0,"None"
19959,"0","0","15","None","Quercus agrifolia",0,"None"
19960,"2.5","2.5","0","None","Magnolia grandiflora",0,"None"
19961,"3","3","0","None","Pyrus calleryana cvs",0,"None"
19962,"0","0","5","None","Lagerstroemia indica",0,"None"
19963,"1","2","0","Moderate","Pyrus calleryana cvs",0,"None"
19964,"0","0","10","None","Quercus sp",0,"None"
19965,"4","6","0","Low","Prunus cerasifera/blireiana",225,"MARKET ST"
19966,"4","6","0","Low","Pyrus calleryana cvs",225,"MARKET ST"
19967,"2","3","0","None","Magnolia grandiflora",1204,"12TH ST"
19968,"2","3","0","Low","Fraxinus sp",1905,"WEST ST"
19969,"0","0","3","None","Fraxinus sp",698,"BROCKHURST ST"
19970,"4","10","0","Low","Platanus acerifolia",828,"13TH ST"
19971,"3","6","0","Moderate","Platanus acerifolia",828,"13TH ST"
19972,"4","4","0","None","Unknown",114,"ADELINE ST"
19973,"3","7","0","Moderate","Ginkgo biloba",1115,"MAGNOLIA ST"
19974,"3","6","0","Low","Platanus acerifolia",1026,"12TH ST"
19975,"3","6","0","None","Platanus acerifolia",1026,"12TH ST"
19976,"3","6","0","Low","Platanus acerifolia",1026,"12TH ST"
19977,"2","3","0","None","Ceratonia siliqua",1219,"16TH ST"
19978,"2","3","0","None","Ginkgo biloba",1515,"MAGNOLIA ST"
19979,"0","0","7","None","Lagerstroemia indica",1160,"8TH ST"
19980,"2","3","0","Moderate","Platanus acerifolia",1605,"CHESTNUT ST"
19981,"2","3","0","Moderate","Lagerstroemia indica",1171,"8TH ST"
19982,"2","3","0","Low","Magnolia grandiflora",1014,"16TH ST"
19983,"0","0","7","None","Platanus acerifolia",1388,"17TH ST"
19984,"5","8","0","None","Acacia melanoxylon",909,"7TH ST"
19985,"5","8","0","Low","Acer sp",0,"None"
19986,"2","3","0","Low","Zelkova serrata",1004,"MAGNOLIA ST"
19987,"0","0","4","None","Platanus acerifolia",0,"VILLAGE CR"
19988,"0","0","4","None","Pyracantha sp",786,"21ST ST"
19989,"2","2","0","Low","Magnolia grandiflora",1001,"LINDEN ST"
19990,"2","6","0","Low","Platanus acerifolia",1070,"MARKET ST"
19991,"3","4","0","Moderate","Magnolia grandiflora",1513,"LINDEN ST"
19992,"3","9","0","Low","Ginkgo biloba",1111,"MAGNOLIA ST"
19993,"0","0","6","None","Platanus acerifolia",300,"MARKET ST"
19994,"3","3","0","Low","Pistacia chinensis",1724,"FILBERT ST"
19995,"3","3","0","Low","Melaleuca stypheloides",1150,"18TH ST"
19996,"3","9","0","Moderate","Dead",1911,"LINDEN ST"
19997,"2","3","0","None","Ginkgo biloba",1527,"MAGNOLIA ST"
19998,"2","6","0","None","Lagerstroemia indica",760,"22ND ST"
19999,"3","4","0","None","Ceratonia siliqua",1522,"POPLAR ST"
20000,"2","3","0","Moderate","Lagerstroemia indica",1050,"7TH ST"
20001,"2","6","0","Low","Prunus cerasifera/blireiana",333,"FILBERT ST"
20002,"2","6","0","Low","Pyrus calleryana cvs",333,"FILBERT ST"
20003,"3","6","0","Low","Prunus cerasifera/blireiana",333,"MARKET ST"
20004,"4","4","0","Low","Crataegus phaenopyrum",2147,"CHESTNUT ST"
20005,"2","3","0","None","Lagerstroemia indica",1171,"8TH ST"
20006,"2","3","0","Moderate","Lagerstroemia indica",1171,"8TH ST"
20007,"0","0","10","None","Platanus acerifolia",1099,"16TH ST"
20008,"2","3","0","Low","Lagerstroemia indica",1039,"8TH ST"
20009,"2","3","0","Moderate","Lagerstroemia indica",1039,"8TH ST"
20010,"2","3","0","None","Ginkgo biloba",1426,"UNION ST"
20011,"3","3","0","None","Fraxinus o. `Raywood'",1940,"UNION ST"
20012,"2","3","0","Moderate","Platanus acerifolia",0,"16TH ST"
20013,"2","3","0","Moderate","Lagerstroemia indica",809,"ADELINE ST"
20014,"2","3","0","Low","Lagerstroemia indica",809,"ADELINE ST"
20015,"2","3","0","Moderate","Tristaniopsis laurina",1200,"21ST ST"
20016,"3","4","0","Moderate","Tristaniopsis laurina",1200,"21ST ST"
20017,"0","0","6","None","Tristaniopsis laurina",2222,"CURTIS ST"
20018,"2","3","0","None","Ginkgo biloba",1504,"MAGNOLIA ST"
20019,"2","6","0","None","Lagerstroemia indica",793,"WEST GRAND AV"
20020,"2","3","0","None","Platanus acerifolia",1407,"WEST ST"
20021,"3","3","0","Low","Prunus cerasifera/blireiana",1122,"18TH ST"
20022,"2","4","0","Low","Pyrus calleryana cvs",0,"UNION ST"
20023,"2","3","0","None","Lagerstroemia indica",922,"8TH ST"
20024,"3","6","0","Low","Pyrus calleryana cvs",330,"CHESTNUT ST"
20025,"3","6","0","Moderate","Platanus acerifolia",952,"14TH ST"
20026,"2","3","0","Low","Ginkgo biloba",1226,"WEST ST"
20027,"2","3","0","High","Lagerstroemia indica",700,"ADELINE ST"
20028,"2","5","0","None","Cercis sp",871,"WEST GRAND AV"
20029,"2","6","0","None","Lagerstroemia indica",777,"WEST GRAND AV"
20030,"5","7","0","None","Phoenix canariensis",814,"20TH ST"
20031,"2","3","0","Low","Pistacia chinensis",1729,"FILBERT ST"
20032,"2","5","0","Moderate","Pistacia chinensis",1626,"FILBERT ST"
20033,"0","0","7","None","Arbutus sp",0,"UNION ST"
20034,"3","6","0","None","Platanus acerifolia",1333,"ADELINE ST"
20035,"4","4","0","None","Liquidambar styraciflua",0,"WEST GRAND AV"
20036,"2","3","0","Low","Magnolia grandiflora",1017,"LINDEN ST"
20037,"0","0","8","None","Platanus acerifolia",1330,"10TH ST"
20038,"0","0","6","None","Pistacia chinensis",0,"BRUSH ST"
20039,"2","3","0","None","Ginkgo biloba",1230,"12TH ST"
20040,"2","3","0","Low","Magnolia grandiflora",1617,"KIRKHAM ST"
20041,"4","6","0","None","Magnolia grandiflora",801,"10TH ST"
20042,"5","7","0","Low","Pyrus calleryana cvs",0,"UNION ST"
20043,"2","3","0","Low","Zelkova serrata",1204,"10TH ST"
20044,"0","0","4","None","Platanus acerifolia",900,"MARKET ST"
20045,"4","6","0","None","Acacia melanoxylon",1155,"7TH ST"
20046,"3","6","0","Low","Pyrus calleryana cvs",1001,"3RD ST"
20047,"2","3","0","None","Ginkgo biloba",1023,"MAGNOLIA ST"
20048,"2","2","0","Low","Fraxinus sp",1435,"FILBERT ST"
20049,"5","8","0","Low","Acer sp",0,"8TH ST"
20050,"8","5","0","Low","Acer sp",0,"8TH ST"
20051,"0","0","7","None","Fraxinus o. `Raywood'",1901,"POPLAR ST"
20052,"2","3","0","None","Pistacia chinensis",1315,"16TH ST"
20053,"2","3","0","None","Platanus acerifolia",1315,"16TH ST"
20054,"2","3","0","High","Platanus acerifolia",0,"16TH ST"
20055,"2","3","0","None","Lagerstroemia indica",953,"8TH ST"
20056,"2","6","0","Low","Prunus sp",1909,"MYRTLE ST"
20057,"3","6","0","None","Fraxinus o. `Raywood'",1176,"19TH ST"
20058,"2","3","0","Low","Ginkgo biloba",1427,"MAGNOLIA ST"
20059,"2","3","0","Low","Prunus cerasifera/blireiana",786,"12TH ST"
20060,"2","3","0","Low","Prunus cerasifera/blireiana",786,"12TH ST"
20061,"2","3","0","Low","Magnolia grandiflora",1536,"FILBERT ST"
20062,"2","3","0","Moderate","Ginkgo biloba",1094,"16TH ST"
20063,"2","5","0","None","Unknown",859,"WEST GRAND AV"
20064,"4","6","0","Low","Unknown",0,"14TH ST"
20065,"0","0","2","None","Unknown",3120,"M L KING JR WY"
20066,"3","3","0","None","Melaleuca stypheloides",1211,"19TH ST"
20067,"2","6","0","Low","Lagerstroemia indica",2235,"CHESTNUT ST"
20068,"0","0","5","None","Pyrus calleryana cvs",2235,"CHESTNUT ST"
20069,"3","9","0","Low","Podocarpus gracilior",1942,"CHESTNUT ST"
20070,"3","4","0","None","Podocarpus gracilior",2101,"BRUSH ST"
20071,"3","9","0","Low","Magnolia grandiflora",1512,"LINDEN ST"
20072,"2","5","0","Low","Prunus cerasifera/blireiana",1228,"UNION ST"
20073,"2","3","0","None","Lagerstroemia indica",0,"VILLAGE CR"
20074,"2","3","0","Moderate","Platanus acerifolia",1605,"CHESTNUT ST"
20075,"0","0","4","None","Platanus acerifolia",0,"MAGNOLIA ST"
20076,"0","0","7","None","Alnus sp",2140,"CYPRESS ST"
20077,"0","0","7","None","Alnus sp",2140,"CYPRESS ST"
20078,"0","0","7","None","Alnus sp",2140,"CYPRESS ST"
20079,"0","0","4","None","Prunus cerasifera/blireiana",3015,"MYRTLE ST"
20080,"3","6","0","Moderate","Pyrus kawakami",2539,"MARKET ST"
20081,"0","0","5","None","Fraxinus sp",2320,"MYRTLE ST"
20082,"3","5","0","None","Cercis sp",2416,"LINDEN ST"
20083,"3","6","0","Moderate","Fraxinus o. `Raywood'",0,"WEST GRAND AV"
20084,"4","4","0","None","Robinia hybrid",2336,"MAGNOLIA ST"
20085,"4","5","0","Moderate","Robinia hybrid",2323,"MAGNOLIA ST"
20086,"0","0","10","None","Alnus sp",0,"WEST GRAND AV"
20087,"0","0","3","None","Cordyline australis",2240,"LINDEN ST"
20088,"4","6","0","Low","Pistacia chinensis",2314,"SAN PABLO AV"
20089,"4","5","0","Moderate","Pyrus calleryana cvs",2314,"SAN PABLO AV"
20090,"4","6","0","None","Pyrus kawakami",1190,"28TH ST"
20091,"0","0","2","None","Fraxinus o. `Raywood'",2534,"MAGNOLIA ST"
20092,"3","2","0","Low","Gleditsia triacanthos",1021,"18TH ST"
20093,"3","5","0","None","Sapium sebiferum",2240,"CHESTNUT ST"
20094,"3","5","0","Low","Sapium sebiferum",2240,"CHESTNUT ST"
20095,"3","5","0","None","Magnolia grandiflora",2240,"CHESTNUT ST"
20096,"3","5","0","Low","Ginkgo biloba",2240,"CHESTNUT ST"
20097,"3","5","0","Low","Ginkgo biloba",2240,"CHESTNUT ST"
20098,"3","5","0","Low","Platanus acerifolia",775,"12TH ST"
20099,"2","3","0","None","Platanus acerifolia",1408,"MARKET ST"
20100,"3","4","0","None","Pyrus calleryana cvs",2701,"POPLAR ST"
20101,"1","1","0","None","Platanus acerifolia",0,"LINDEN ST"
20102,"0","0","5","None","Fraxinus sp",0,"LINDEN ST"
20103,"0","0","5","None","Fraxinus sp",0,"LINDEN ST"
20104,"0","0","5","None","Acer sp",864,"31ST ST"
20105,"0","0","2","None","Pyrus calleryana cvs",2542,"FILBERT ST"
20106,"2","5","0","None","Cercis sp",3106,"MAGNOLIA ST"
20107,"2","3","0","Low","Zelkova serrata",1024,"MAGNOLIA ST"
20108,"4","3","0","Low","Unknown",2619,"MAGNOLIA ST"
20109,"3","3","0","Low","Unknown",2619,"MAGNOLIA ST"
20110,"3","3","0","None","Cercis sp",775,"16TH ST"
20111,"3","3","0","Low","Platanus acerifolia",1515,"MARKET ST"
20112,"4","8","0","Moderate","Platanus acerifolia",1515,"MARKET ST"
20113,"2","4","0","Low","Pyrus kawakami",1040,"28TH ST"
20114,"6","9","0","Low","Platanus acerifolia",1150,"MARKET ST"
20115,"2","3","0","Moderate","Magnolia grandiflora",1837,"LINDEN ST"
20116,"0","0","2","None","Prunus cerasifera/blireiana",0,"M L KING JR WY"
20117,"0","0","2.5","None","Pyrus calleryana cvs",2529,"FILBERT ST"
20118,"4","6","0","Low","Fraxinus sp",938,"24TH ST"
